source,indicator_code,indicator_name,unit,country,year,value
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,1996,-2.55130348205566
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,1998,-2.2686000704765403
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2000,-2.3146049618721003
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2002,-2.21514474153519
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2003,-2.50340152978897
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2004,-2.80483094453812
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2005,-2.61916115283965
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2006,-2.82161347866059
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2007,-2.76347619295121
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2008,-2.7467682361602703
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2009,-2.82143453359603
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2010,-2.84377490282059
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2011,-2.7109713196754397
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2012,-1.81864584684371
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2013,-1.71039686203003
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2014,-1.5030717849731399
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2015,-1.4447964608669301
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2016,-1.08471115231514
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2017,-0.998354882001877
World Bank WDI/WGI CSV download,CC.EST,Control of corruption,WGI estimate,MMR,2018,-1.03505102396011
