source,indicator_code,indicator_name,country,year,value
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,1995,-4.8865587953609
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,1996,-4.56988456855419
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,1997,-8.72524429573243
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,1998,-7.6510593118296
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,1999,-3.32147094586841
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2000,-2.35956987604124
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2001,-2.34635994742259
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2002,1.41024552018482
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2003,-0.182395916009129
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2004,1.04340168282983
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2005,4.85379033880321
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2006,5.47410687810815
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2007,6.84128559608505
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2008,3.91377460527001
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2009,2.67166530648619
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2010,3.17749475847855
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2011,-2.60285417206877
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2012,-2.1015900196755
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2013,-0.644739708349136
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2014,-3.78673335134624
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2015,-5.216017222236
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2016,-3.03174958693432
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2017,-7.44369978732039
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2018,-3.77415133295651
World Bank WDI/WGI CSV download,BN.CAB.XOKA.GD.ZS,"Current account balance, % of GDP",MMR,2019,0.090215657848436
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,1995,277199199.509049
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,1996,310437074.890386
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,1997,387184136.000944
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,1998,314450998.907852
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,1999,253110104.66411
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2000,254789765.469466
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2001,208303564.372066
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2002,150511225.813866
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2003,248882510.026366
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2004,211364294.975748
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2005,234904379.027598
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2006,275812653.011391
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2007,709922015.309805
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2008,863880447.312828
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2009,1078972200.98264
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2010,901133534.876797
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2011,2519813313.27459
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2012,1333856137.27031
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2013,2254603965.49345
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2014,2175015283.77713
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2015,4083839111.71186
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2016,3278096409.87385
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2017,4804272487.31986
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2018,1768195522.55912
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2019,1735589412.93376
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2020,1907154040.0
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2021,2066606470.0
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2022,1238500000.0
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2023,1520172000.0
World Bank WDI/WGI CSV download,BX.KLT.DINV.CD.WD,"FDI net inflows, current US$",MMR,2024,1095317000.0
World Bank WDI/WGI CSV download,BX.KLT.DINV.WD.GD.ZS,"FDI net inflows, % of GDP",MMR,1995,5.24087787832261
World Bank WDI/WGI CSV download,BX.KLT.DINV.WD.GD.ZS,"FDI net inflows, % of GDP",MMR,1996,5.06955498653302
World Bank WDI/WGI CSV download,BX.KLT.DINV.WD.GD.ZS,"FDI net inflows, % of GDP",MMR,1997,8.19907839931242
World Bank WDI/WGI CSV download,BX.KLT.DINV.WD.GD.ZS,"FDI net inflows, % of GDP",MMR,1998,4.8680682147655
World Bank WDI/WGI CSV download,BX.KLT.DINV.WD.GD.ZS,"FDI net inflows, % of GDP",MMR,1999,2.982385898279
World Bank WDI/WGI CSV download,BX.KLT.DINV.WD.GD.ZS,"FDI net inflows, % of GDP",MMR,2000,2.86117768008645
