source,indicator_code,indicator_name,unit,country,year,value
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2012,6.7426178287944
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2013,6.54237562544988
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2014,6.03031348580595
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2015,6.29137217722853
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2016,7.59522767740611
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2017,8.85396756453864
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2018,10.3799013458567
World Bank WDI/WGI CSV download,GC.XPN.INTP.RV.ZS,Interest payments,% of revenue,MMR,2019,9.55530955337015
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,1998,-4.9
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,1999,-4.5
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2000,-6.0
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2001,-6.3
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2002,-4.0
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2003,-4.2
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2004,-4.6
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2005,-3.5
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2006,-3.4
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2007,-3.5
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2008,-2.7
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2009,-3.6
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2010,-5.4
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2011,-4.8
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2012,-2.7
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2013,-1.5
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2014,-1.1
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2015,-4.3
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2016,-2.5
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2017,-3.4
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2018,-2.8
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2019,-4.7
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2020,-6.5
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2021,-2.2
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2022,-2.8
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2023,-2.8
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2024,-4.1
IMF DataMapper API,GGXCNL_NGDP,General government net lending/borrowing,% of GDP,MMR,2025,-4.9
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,1998,20.31052633566
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,1999,18.328016582236
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2000,15.41064057964
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2001,12.739174988417
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2002,11.307917906345
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2003,10.102843309489
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2004,9.9366771744307
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2005,11.15845184428
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2006,12.179828872016
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2007,12.201441503136
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2008,11.670667408619
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2009,10.894696974612
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2010,10.380308880245
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2011,10.785212903994
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2012,17.253590489141
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2013,22.35941292633
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2014,23.674886175309
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2015,19.405695721584
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2016,18.734868315257
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2017,16.272653576874
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2018,15.948862125623
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2019,15.84474711559
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2020,14.805155646835
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2021,18.428780728529
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2022,18.512206810358
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2023,16.230182642096
IMF DataMapper API,rev,General government revenue,% of GDP,MMR,2024,15.605900809065
