source,indicator_code,indicator_name,unit,country,year,value
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1973,12.3647208149576
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1974,9.87647930253264
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1975,9.23456992601636
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1976,11.9371421015371
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1977,14.3966507340018
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1978,14.9465406454946
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1979,16.0954343159505
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1980,15.9833206136733
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1981,17.0242537313433
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1982,15.9001086770185
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1983,15.3302696143429
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1984,14.4392410831161
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1985,13.6044584802099
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1986,12.3907296552046
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1987,10.4748316593676
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1988,8.45192240214495
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1989,7.8160843585557
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1990,10.4632443823737
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1991,9.28414195963221
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1992,7.78725450059684
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1993,7.25215065357055
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1994,6.64799531107986
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1995,6.37938646898032
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1996,6.84802646531478
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1997,7.67184542509261
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1998,7.20516394827603
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,1999,5.60119069359728
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2000,5.25127485939087
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2001,4.57227761288365
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2002,4.96011318385281
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2003,4.9777128995997
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2004,6.46875895101498
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2005,6.66748304643303
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2012,19.7007501337319
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2013,20.0136948721279
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2014,22.0275608393637
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2015,18.5063974234776
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2016,16.789835742121
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2017,15.9852528823652
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2018,7.01300899608592
World Bank WDI API,GC.REV.XGRT.GD.ZS,Revenue excluding grants,percent of GDP,MMR,2019,14.3891961645863
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1973,9.42479753366172
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1974,7.612796448263
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1975,7.92264763025389
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1976,8.80519186781064
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1977,10.4564792033779
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1978,10.0094338048831
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1979,10.2114167420344
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1980,9.61174895435775
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1981,9.9277052238806
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1982,9.83102245487561
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1983,9.23669818868891
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1984,8.58443574407767
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1985,8.25519326447815
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1986,7.41173670242276
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1987,6.3655418074506
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1988,4.49352671473442
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1989,4.26178737654007
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1990,6.19778414572987
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1991,5.61020629285277
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1992,5.03739654451358
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1993,4.72801035299943
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1994,4.25171345046186
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1995,3.74448720005159
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1996,3.9593171544736
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1997,4.41523918074799
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1998,3.51930951883989
World Bank WDI API,GC.TAX.TOTL.GD.ZS,Tax revenue,percent of GDP,MMR,1999,2.75274845684649
