source,indicator_code,indicator_name,country,year,value,sex,classif1,classif2,note_source
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1278.98,SEX_T,OCU_SKILL_TOTAL,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1804.97,SEX_T,OCU_SKILL_L3-4,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1374.68,SEX_T,OCU_SKILL_L2,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,938.08,SEX_T,OCU_SKILL_L1,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1457.16,SEX_T,OCU_SKILL_X,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1316.78,SEX_M,OCU_SKILL_TOTAL,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,2038.36,SEX_M,OCU_SKILL_L3-4,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1385.95,SEX_M,OCU_SKILL_L2,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1044.49,SEX_M,OCU_SKILL_L1,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1457.16,SEX_M,OCU_SKILL_X,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1221.63,SEX_F,OCU_SKILL_TOTAL,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1667.03,SEX_F,OCU_SKILL_L3-4,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1354.29,SEX_F,OCU_SKILL_L2,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,769.69,SEX_F,OCU_SKILL_L1,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,0,SEX_F,OCU_SKILL_X,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,1278.98,SEX_T,OCU_ISCO08_TOTAL,,R1:3513_S3:6
ILOSTAT bulk download facility,SDG_0851_SEX_OCU_NB,SDG_0851_SEX_OCU_NB,MMR,2020,2399.74,SEX_T,OCU_ISCO08_1,,R1:3513_S3:6
