source,indicator_code,indicator_name,unit,country,year,value
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1976,-2.83362559439057
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1977,-11.6358248591999
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1978,-23.3006843135133
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1979,-38.043611076022
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1980,-33.7561431105611
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1981,-28.5151099433081
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1982,-34.023468787847
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1983,-25.5752791795015
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1984,-16.8683263813367
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1985,-13.8936132678286
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1986,-18.5758278264764
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1987,-11.5180458350909
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1988,-11.4146578021773
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1989,-3.37709642215162
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1990,-20.391141264827
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1991,-12.9200327093985
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1992,-4.74404746483468
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1993,-7.20253615389665
World Bank WDI API,BN.CAB.XOKA.GD.ZS,Current account balance,percent of GDP,MMR,1994,-2.93057018921972
