source,indicator_code,indicator_name,unit,country,year,value
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1960,5.901
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1961,5.9
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1962,5.904
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1963,5.905
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1964,5.907
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1965,5.912
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1966,5.876
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1967,5.842
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1968,5.797
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1969,5.747
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1970,5.682
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1971,5.615
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1972,5.527
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1973,5.435
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1974,5.341
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1975,5.249
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1976,5.159
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1977,5.069
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1978,4.985
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1979,4.897
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1980,4.789
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1981,4.688
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1982,4.662
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1983,4.633
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1984,4.517
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1985,4.316
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1986,4.081
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1987,3.861
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1988,3.67
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1989,3.593
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1990,3.504
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1991,3.432
World Bank World Development Indicators API,SP.DYN.TFRT.IN,"Fertility rate, total",births per woman,MMR,1992,3.354
