indicator,year,value_current_usd,value_current_usd_billions,source
BX.TRF.PWKR.CD.DT,1987,5972804.55,0.005973,World Bank WDI API
BX.TRF.PWKR.CD.DT,1988,6836565.02,0.006837,World Bank WDI API
BX.TRF.PWKR.CD.DT,1989,9275733.95,0.009276,World Bank WDI API
BX.TRF.PWKR.CD.DT,1990,5970436.1,0.00597,World Bank WDI API
BX.TRF.PWKR.CD.DT,1991,1552868.01,0.001553,World Bank WDI API
BX.TRF.PWKR.CD.DT,1992,279829.08,0.00028,World Bank WDI API
BX.TRF.PWKR.CD.DT,1993,28537929.53,0.028538,World Bank WDI API
BX.TRF.PWKR.CD.DT,1994,41800518.04,0.041801,World Bank WDI API
BX.TRF.PWKR.CD.DT,1995,80575032.92,0.080575,World Bank WDI API
BX.TRF.PWKR.CD.DT,1996,122450105.27,0.12245,World Bank WDI API
BX.TRF.PWKR.CD.DT,1997,147205581.01,0.147206,World Bank WDI API
BX.TRF.PWKR.CD.DT,1998,135822962.76,0.135823,World Bank WDI API
BX.TRF.PWKR.CD.DT,1999,135053917.97,0.135054,World Bank WDI API
BX.TRF.PWKR.CD.DT,2000,102152604.8,0.102153,World Bank WDI API
BX.TRF.PWKR.CD.DT,2001,116158175.62,0.116158,World Bank WDI API
BX.TRF.PWKR.CD.DT,2002,105385646.32,0.105386,World Bank WDI API
BX.TRF.PWKR.CD.DT,2003,84412131.69,0.084412,World Bank WDI API
BX.TRF.PWKR.CD.DT,2004,116573115.84,0.116573,World Bank WDI API
BX.TRF.PWKR.CD.DT,2005,129488927.89,0.129489,World Bank WDI API
BX.TRF.PWKR.CD.DT,2006,115168164.06,0.115168,World Bank WDI API
BX.TRF.PWKR.CD.DT,2007,81009057.89,0.081009,World Bank WDI API
BX.TRF.PWKR.CD.DT,2008,54744020.17,0.054744,World Bank WDI API
BX.TRF.PWKR.CD.DT,2009,54472032.22,0.054472,World Bank WDI API
BX.TRF.PWKR.CD.DT,2010,114854849.29,0.114855,World Bank WDI API
BX.TRF.PWKR.CD.DT,2011,127075981.13,0.127076,World Bank WDI API
BX.TRF.PWKR.CD.DT,2012,274616061.7,0.274616,World Bank WDI API
BX.TRF.PWKR.CD.DT,2013,1643883378.07,1.643883,World Bank WDI API
BX.TRF.PWKR.CD.DT,2014,1807677675.01,1.807678,World Bank WDI API
BX.TRF.PWKR.CD.DT,2015,1933727555.49,1.933728,World Bank WDI API
BX.TRF.PWKR.CD.DT,2016,2254714796.44,2.254715,World Bank WDI API
BX.TRF.PWKR.CD.DT,2017,2452869388.05,2.452869,World Bank WDI API
BX.TRF.PWKR.CD.DT,2018,2673495005.35,2.673495,World Bank WDI API
BX.TRF.PWKR.CD.DT,2019,2553189788.15,2.55319,World Bank WDI API
