dataset,indicator,region,year,value,unit,source
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1960,18.9945,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1961,19.486,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1962,19.9779,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1963,20.4651,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1964,20.9423,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1965,21.4043,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1966,21.846,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1967,22.2622,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1968,22.6477,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1969,22.9973,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1970,23.3057,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1971,23.5679,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1972,23.7786,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1973,23.9344,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1974,24.0571,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1975,24.1623,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1976,24.2536,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1977,24.3348,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1978,24.4101,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1979,24.4835,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1980,24.5589,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1981,24.6403,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1982,24.7318,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1983,24.837,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1984,24.9534,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1985,25.0778,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1986,25.21,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1987,25.3493,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1988,25.495,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1989,25.6467,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1990,25.8037,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1991,25.9654,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1992,26.1312,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1993,26.3005,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1994,26.4728,% of total population,World Development Indicators API
World Bank WDI,SP.URB.TOTL.IN.ZS,national,1995,26.6474,% of total population,World Development Indicators API
