"country_code","indicator_code","indicator_name","year","value","unit","value_type","source"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1973","12.3647208149576","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1974","9.87647930253264","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1975","9.23456992601636","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1976","11.9371421015371","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1977","14.3966507340018","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1978","14.9465406454946","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1979","16.0954343159505","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1980","15.9833206136733","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1981","17.0242537313433","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1982","15.9001086770185","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1983","15.3302696143429","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1984","14.4392410831161","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1985","13.6044584802099","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1986","12.3907296552046","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1987","10.4748316593676","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1988","8.45192240214495","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1989","7.8160843585557","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1990","10.4632443823737","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1991","9.28414195963221","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1992","7.78725450059684","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1993","7.25215065357055","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1994","6.64799531107986","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1995","6.37938646898032","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1996","6.84802646531478","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1997","7.67184542509261","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1998","7.20516394827603","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","1999","5.60119069359728","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2000","5.25127485939087","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2001","4.57227761288365","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2002","4.96011318385281","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2003","4.9777128995997","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2004","6.46875895101498","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2005","6.66748304643303","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2012","19.7007501337319","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2013","20.0136948721279","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2014","22.0275608393637","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2015","18.5063974234776","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2016","16.789835742121","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2017","15.9852528823652","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2018","7.01300899608592","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.REV.XGRT.GD.ZS","Government revenue excluding grants","2019","14.3891961645863","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1973","9.42479753366172","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1974","7.612796448263","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1975","7.92264763025389","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1976","8.80519186781064","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1977","10.4564792033779","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1978","10.0094338048831","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1979","10.2114167420344","percent of GDP","international_observation","World Bank WDI API"
