country,chapter_number,chapter_title,section_number,section_title,section_file,indicator_codes_to_check,source_ids_to_check,chapter_chart_count,update_instruction
MMR,1,1. Country Overview,1,National Profile,report/sections/01-01-national-profile.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,1,1. Country Overview,2,State Symbols,report/sections/01-02-state-symbols.html,,MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,1,1. Country Overview,3,Geography and Administrative Divisions,report/sections/01-03-geography-and-administrative-divisions.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,1,1. Country Overview,4,Core Institutional Puzzle,report/sections/01-04-core-institutional-puzzle.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,1,1. Country Overview,5,Evidence Base,report/sections/01-05-evidence-base.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,2,2. Historical Background,1,State Formation and Historical Legacies,report/sections/02-01-state-formation-and-historical-legacies.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,2,2. Historical Background,2,"Colonial, Imperial, or External Rule",report/sections/02-02-colonial-imperial-or-external-rule.html,RL.EST; CC.EST,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,2,2. Historical Background,3,"Independence, Regime Change, and Constitutional Turning Points",report/sections/02-03-independence-regime-change-and-constitutional-turning-points.html,,MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,2,2. Historical Background,4,Historical Effects on Current Administration,report/sections/02-04-historical-effects-on-current-administration.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,3,3. Constitution and Basic State Order,1,Constitutional Order and Amendments,report/sections/03-01-constitutional-order-and-amendments.html,,MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,3,3. Constitution and Basic State Order,2,"State Identity, Sovereignty, Territory, and Citizenship",report/sections/03-02-state-identity-sovereignty-territory-and-citizenship.html,,MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,3,3. Constitution and Basic State Order,3,"Rights, Courts, and Constitutional Review",report/sections/03-03-rights-courts-and-constitutional-review.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,3,3. Constitution and Basic State Order,4,Emergency Powers and Constitutional Reform Debates,report/sections/03-04-emergency-powers-and-constitutional-reform-debates.html,,MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,4,4. Political System and Power Structure,1,Historical Formation of the Political Order,report/sections/04-01-historical-formation-of-the-political-order.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,4,4. Political System and Power Structure,2,Executive Power and Government Formation,report/sections/04-02-executive-power-and-government-formation.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
